DAY TN TX
19010101 -1.7 2.3
19010102 0.6 2.6
19010103 -3.6 3.4
19010104 -6.2 -0.7
19010105 -8.8 -2.3
19010106 -11.4 -5.9
19010107 -9.9 -3.6
19010108 -9.4 0.3
19010109 -1.4 6.2
19010110 1.9 8.9
19010111 -0.1 8.1
19010112 -3.5 3.5
19010113 -6 1.8
19010114 -4 4.5
19010115 -4.8 4
19010116 -1.5 5.7
19010117 2.2 6
19010118 -1.1 6.3
19010119 2.6 6.9
19010120 4.1 7.2
19010121 6.1 8.7
19010122 6.3 7.8
19010123 2.1 8.1
19010124 -0.3 5.5
19010125 4.2 7.2
19010126 1.3 6.6
19010127 1.6 9.7
19010128 -0.2 4.6
19010129 -2 2.6
19010130 -2 2.1
19010131 -0.5 1.3
19010201 -0.6 1.3
19010202 -1 0.7
19010203 -0.9 3.7
19010204 -1.6 0.5
19010205 -1.4 2.3
19010206 -3.5 -0.8
19010207 -6.9 1.3
19010208 -7.9 0.9
19010209 -1.2 1.1
19010210 -0.2 3.9
19010211 -5 2.3
19010212 -5.8 1.9
19010213 -10.2 -2.1
19010214 -14.9 -5.8
19010215 -10.7 -4.3
19010216 -9.3 1.7
19010217 -2.4 1.2
19010218 -8 -1.1
19010219 -3.7 0.2
19010220 -9.3 -2.7
19010221 -13.1 -0.6
19010222 -8.5 2.3
19010223 -2.5 2.1
19010224 -2.7 2.3
19010225 1.5 4.1
19010226 1.4 5.8
19010227 3 8.1
19010228 4.4 8.1
19010301 3.8 7.9
19010302 3.5 9.6
19010303 4 9
19010304 2.1 7.2
19010305 2.8 9.4
19010306 2.2 7.2
19010307 2.6 5.8
19010308 2.8 7.4
19010309 1.4 4.2
19010310 1.5 3.1
19010311 0.2 2
19010312 2.3 6.6
19010313 1.6 5.5
19010314 0.7 9.9
19010315 1.4 10.9
19010316 5.5 8
19010317 4.7 11.9
19010318 1.7 4.7
19010319 0.3 5.9
19010320 2.4 5.3
19010321 -0.9 5.7
19010322 -2.1 4.3
19010323 -1.7 4.4
19010324 -1.5 6.9
19010325 -2.9 1.5
19010326 -6.2 3.3
19010327 -3.7 2.6
19010328 -6 1.5
19010329 -6 3.9
19010330 -0.1 9.4
19010331 6.1 9.3
19010401 3.6 10.9
19010402 1.2 13.5
19010403 9.2 14.4
19010404 4 12
19010405 1.1 7.2
19010406 1.1 11.8
19010407 9.2 14.8
19010408 9.8 14.9
19010409 7.6 13
19010410 6.4 12
19010411 6.3 11
19010412 4.3 8
19010413 2.4 7.8
19010414 3.7 9.2
19010415 1.3 8.9
19010416 1.6 7.3
19010417 2.6 8.2
19010418 1.2 12
19010419 3.7 15.5
19010420 6.5 19.4
19010421 10.2 21.6
19010422 10.8 23
19010423 10 21.1
19010424 8.4 15.9
19010425 7.4 19.2
19010426 1.8 9.4
19010427 1.9 12.3
19010428 4 9.3
19010429 1.4 15.4
19010430 6 13.3
19010501 7.3 15.4
19010502 4.9 18.3
19010503 9.7 18.2
19010504 6.7 17.3
19010505 5.4 13.7
19010506 3.6 12.6
19010507 5.9 12.6
19010508 5.4 11.5
19010509 5.1 12.1
19010510 6.3 14.1
19010511 2.3 15.6
19010512 5.2 16
19010513 8.6 21.3
19010514 8.3 22.2
19010515 7.3 19.4
19010516 7.4 9.5
19010517 5.3 13.2
19010518 4.2 12
19010519 1.5 17.3
19010520 7.1 16.7
19010521 5.2 20.3
19010522 7.3 20.6
19010523 6.9 19.2
19010524 6 20.2
19010525 8.6 19.3
19010526 10.3 21.6
19010527 7.3 22
19010528 12.2 24.3
19010529 12.3 26.9
19010530 14.4 24.8
19010531 15.2 25.1
19010601 14.9 27.1
19010602 13.3 22.3
19010603 11.6 21.8
19010604 10 22
19010605 10.9 24.6
19010606 11.9 23.2
19010607 9.9 19.2
19010608 7 20.6
19010609 9.2 23.3
19010610 10.4 22.6
19010611 9 17.5
19010612 8.1 15.6
19010613 7.1 14.8
19010614 9.4 14.1
19010615 6.3 16.3
19010616 5.3 16.2
19010617 7.3 13.5
19010618 6.3 12.4
19010619 7.2 19
19010620 11.3 20.8
19010621 14.8 25
19010622 18.7 27.2
19010623 12 23.2
19010624 9.7 19.8
19010625 9.1 19.8
19010626 7.8 19.6
19010627 11.1 21
19010628 10.3 24.2
19010629 12.2 26.4
19010630 12.7 22.3
19010701 14.7 19.2
19010702 11.9 21.4
19010703 10.2 22.2
19010704 13.5 24.1
