DAY TN TX
19010101 -1.8 2.4
19010102 0.4 2.8
19010103 -3.7 3.6
19010104 -6.3 -0.7
19010105 -8.9 -2.4
19010106 -11.5 -6.2
19010107 -10 -3.8
19010108 -9.5 0.3
19010109 -1.5 6.6
19010110 1.7 9.5
19010111 -0.3 8.6
19010112 -3.6 3.7
19010113 -6.1 1.9
19010114 -4.1 4.8
19010115 -4.9 4.3
19010116 -1.6 6.1
19010117 2 6.4
19010118 -1.2 6.7
19010119 2.4 7.3
19010120 3.9 7.7
19010121 5.9 9.2
19010122 6.1 8.3
19010123 1.9 8.6
19010124 -0.5 5.8
19010125 4 7.6
19010126 1.1 7
19010127 1.4 10.3
19010128 -0.4 4.9
19010129 -2.1 2.8
19010130 -2.1 2.2
19010131 -0.6 1.4
19010201 -0.7 1.4
19010202 -1.1 0.7
19010203 -1 3.9
19010204 -1.7 0.5
19010205 -1.5 2.4
19010206 -3.6 -0.8
19010207 -7 1.4
19010208 -8 1
19010209 -1.3 1.2
19010210 -0.4 4.2
19010211 -5.1 2.5
19010212 -5.9 2
19010213 -10.3 -2.2
19010214 -15 -6.1
19010215 -10.8 -4.6
19010216 -9.4 1.8
19010217 -2.5 1.3
19010218 -8.1 -1.2
19010219 -3.8 0.2
19010220 -9.4 -2.9
19010221 -13.2 -0.6
19010222 -8.6 2.5
19010223 -2.6 2.2
19010224 -2.8 2.5
19010225 1.3 4.4
19010226 1.2 6.2
19010227 2.8 8.6
19010228 4.2 8.6
19010301 3.6 8.4
19010302 3.3 10.2
19010303 3.8 9.6
19010304 1.9 7.6
19010305 2.6 10
19010306 2 7.6
19010307 2.4 6.2
19010308 2.6 7.9
19010309 1.2 4.5
19010310 1.3 3.3
19010311 0 2.1
19010312 2.1 7
19010313 1.4 5.8
19010314 0.5 10.5
19010315 1.2 11.6
19010316 5.3 8.5
19010317 4.5 12.6
19010318 1.5 5
19010319 0.1 6.3
19010320 2.2 5.6
19010321 -1 6.1
19010322 -2.2 4.6
19010323 -1.8 4.7
19010324 -1.6 7.3
19010325 -3 1.6
19010326 -6.3 3.5
19010327 -3.8 2.8
19010328 -6.1 1.6
19010329 -6.1 4.1
19010330 -0.3 10
19010331 5.9 9.9
19010401 3.4 11.6
19010402 1 14.3
19010403 9 15.3
19010404 3.8 12.7
19010405 0.9 7.6
19010406 0.9 12.5
19010407 9 15.7
19010408 9.6 15.8
19010409 7.4 13.8
19010410 6.2 12.7
19010411 6.1 11.7
19010412 4.1 8.5
19010413 2.2 8.3
19010414 3.5 9.8
19010415 1.1 9.5
19010416 1.4 7.8
19010417 2.4 8.7
19010418 1 12.7
19010419 3.5 16.5
19010420 6.3 20.6
19010421 10 22.9
19010422 10.6 24.4
19010423 9.8 22.4
19010424 8.2 16.9
19010425 7.2 20.4
19010426 1.6 10
19010427 1.7 13.1
19010428 3.8 9.9
19010429 1.2 16.3
19010430 5.8 14.1
19010501 7.1 16.3
19010502 4.7 19.4
19010503 9.5 19.3
19010504 6.5 18.4
19010505 5.2 14.5
19010506 3.4 13.4
19010507 5.7 13.4
19010508 5.2 12.2
19010509 4.9 12.9
19010510 6.1 15
19010511 2.1 16.6
19010512 5 17
19010513 8.4 22.6
19010514 8.1 23.6
19010515 7.1 20.6
19010516 7.2 10.1
19010517 5.1 14
19010518 4 12.7
19010519 1.3 18.4
19010520 6.9 17.7
19010521 5 21.6
19010522 7.1 21.9
19010523 6.7 20.4
19010524 5.8 21.4
19010525 8.4 20.5
19010526 10.1 22.9
19010527 7.1 23.4
19010528 12 25.8
19010529 12.1 28.6
19010530 14.2 26.3
19010531 15 26.6
19010601 14.7 28.8
19010602 13.1 23.7
19010603 11.4 23.1
19010604 9.8 23.4
19010605 10.7 26.1
19010606 11.7 24.6
19010607 9.7 20.4
19010608 6.8 21.9
19010609 9 24.7
19010610 10.2 24
19010611 8.8 18.6
19010612 7.9 16.6
19010613 6.9 15.7
19010614 9.2 15
19010615 6.1 17.3
19010616 5.1 17.2
19010617 7.1 14.3
19010618 6.1 13.2
19010619 7 20.2
19010620 11.1 22.1
19010621 14.6 26.5
19010622 18.4 28.9
19010623 11.8 24.6
19010624 9.5 21
19010625 8.9 21
19010626 7.6 20.8
19010627 10.9 22.3
19010628 10.1 25.7
19010629 12 28
19010630 12.5 23.7
19010701 14.5 20.4
19010702 11.7 22.7
19010703 10 23.6
19010704 13.3 25.6
19010705 11 25
19010706 13.2 23.6
19010707 12.3 20.5
19010708 10.7 21.7
19010709 10.6 26.9
19010710 13.6 28.9
19010711 14.2 30.3
19010712 15.8 32.6
19010713 16.8 32.8
19010714 16.1 24.7
19010715 14 23.7
19010716 12.4 27.8
19010717 14.9 29.7
19010718 14 30.7
19010719 16.4 29
19010720 13.2 28.3
19010721 14 29.7
19010722 13.9 24.3
19010723 11.7 24.7
19010724 10.7 22.9
19010725 11.8 20.4
19010726 11.2 21.5
19010727 12.8 19.6
19010728 12 23.2
19010729 11.9 26
19010730 12.1 27.4
19010731 15.6 26.6
19010801 15.5 20.5
19010802 14.5 23.9
19010803 12.6 23.2
19010804 12 26.2
19010805 13.2 21.6
19010806 12.8 18.1
19010807 14 20.7
19010808 12.7 20.5
19010809 11.4 28.4
19010810 18.2 29
19010811 16.8 24.6
19010812 12.6 23.7
19010813 10.8 23.5
19010814 12 27.8
19010815 14.2 20.3
19010816 12 20.8
19010817 10.2 22.5
19010818 14 27
19010819 14 27.9
19010820 12.2 21.7
19010821 9.2 22
19010822 11 21.6
19010823 10.2 25.4
19010824 11.9 24.6
19010825 10.5 25.9
19010826 10.9 19.8
19010827 9.6 17.9
19010828 9.2 15.9
19010829 9.7 16.2
19010830 8.5 20.7
19010831 11.4 21.8
19010901 8 18.1
19010902 8.7 17.6
19010903 7.2 19
19010904 7.9 18.4
19010905 6.2 17.3
19010906 5.4 17.6
19010907 8 19.5
19010908 10 21.5
19010909 16.9 24.3
19010910 13.1 22.1
19010911 10.5 19.1
19010912 9.3 18.6
19010913 9.5 19.8
19010914 11.7 13.6
19010915 11.3 13.6
19010916 9.8 17.5
19010917 10.4 15.9
19010918 8.1 16.1
19010919 6.1 17.9
